LP,DP
1891.98,1892.6
1891.96108,1893.2
1891.942161,1893.6
1891.923241,1894
1891.904322,1894.4
1891.885403,1894.8
1891.866484,1895.2
1891.847565,1895.8
1891.828647,1896.2
1891.809729,1896.6
1891.790811,1897
1891.771893,1897.4
1891.752975,1897.8
1891.734057,1898.2
1891.71514,1898.6
1891.696223,1899
1891.677306,1899.4
1891.658389,1899.8
1891.639473,1900.2
1891.620556,1900.6
1891.60164,1901
1891.582724,1901.4
1891.563808,1901.8
1891.544892,1902.4
1891.525977,1903
1891.507062,1903.4
1891.488147,1903.8
1893.776398,1904.2
1901.257461,1904.6
1908.738448,1905
1908.719361,1905.4
1908.700274,1905.8
1908.681187,1906.2
1908.6621,1906.6
1908.643013,1907
1908.623927,1907.6
1908.60484,1908.2
1908.585754,1908.8
1908.566669,1909.2
1908.547583,1909.6
1908.528497,1910
1908.509412,1910.4
1908.490327,1911
1908.471242,1911.6
1908.452157,1912
1908.433073,1912.4
1908.413989,1912.8
1908.394904,1913.2
1908.37582,1913.6
1908.356737,1914
1908.337653,1914.4
1908.31857,1914.8
1908.299487,1915.2
1908.280404,1915.6
1908.261321,1916
1908.242238,1916.4
1908.223156,1916.8
1910.487907,1917.2
1917.968802,1917.6
1925.449622,1918.2
1925.430368,1918.6
1925.411113,1919
1925.391859,1919.4
1925.372605,1919.8
1925.353352,1920.2
1925.334098,1920.6
1925.314845,1921
1925.295592,1921.4
1925.276339,1921.8
1925.257086,1922.2
1925.237833,1922.6
1925.218581,1923.2
1925.199329,1923.8
1925.180077,1924.2
1925.160825,1924.6
1925.141573,1925
1925.122322,1925.4
1925.103071,1925.8
1925.08382,1926.2
1925.064569,1926.6
1925.045318,1927
1925.026068,1927.4
1925.006818,1927.8
1924.987568,1928.2
1924.968318,1928.8
1924.949068,1929.4
1924.929818,1929.8
1926.804902,1930.2
1934.285634,1930.6
1941.766292,1931
1941.746874,1931.4
1941.727456,1932
1941.708039,1932.4
1941.688622,1932.8
1941.669205,1933.2
1941.649789,1933.6
1941.630372,1934
1941.610956,1934.4
1941.59154,1934.8
1941.572124,1935.2
1941.552708,1935.6
1941.533292,1936
1941.513877,1936.4
1941.494462,1936.8
1941.475047,1937.2
1941.455632,1937.6
1941.436218,1938
1941.416803,1938.6
1941.397389,1939
1941.377975,1939.4
1941.358561,1939.8
1941.339148,1940.2
1941.319734,1940.6
1941.300321,1941
1941.280908,1941.4
1941.261495,1941.8
1941.242083,1942.2
1943.17567,1942.6
1950.656239,1943
1958.136732,1943.6
1958.117151,1944.2
1958.09757,1944.8
1958.077989,1945.2
1958.058408,1945.6
1958.038827,1946
1958.019247,1946.4
1957.999667,1947
1957.980087,1947.4
1957.960507,1947.8
1957.940927,1948.2
1957.921348,1948.6
1957.901769,1949
1957.88219,1949.4
1957.862611,1949.8
1957.843032,1950.2
1957.823454,1950.6
1957.803875,1951
1957.784297,1951.4
1957.76472,1951.8
1957.745142,1952.2
1957.725565,1952.6
1957.705987,1953
1957.68641,1953.4
1957.666833,1953.8
1957.647257,1954.2
1957.62768,1954.6
1957.608104,1955
1959.575361,1955.4
1967.055765,1955.8
1974.536095,1956.2
1974.516349,1956.6
1974.496604,1957
1974.476859,1957.4
1974.457115,1957.8
1974.43737,1958.2
1974.417626,1958.6
1974.397881,1959
1974.378137,1959.4
1974.358394,1959.8
1974.33865,1960.2
1974.318907,1960.6
1974.299164,1961.2
1974.279421,1961.8
1974.259678,1962.2
1974.239935,1962.6
1974.220193,1963
1974.200451,1963.4
1974.180709,1963.8
1974.160967,1964.2
1974.141225,1964.6
1974.121484,1965
1974.101743,1965.4
1974.082001,1965.8
1974.062261,1966.2
1974.04252,1966.6
1974.02278,1967
1974.003039,1967.4
1975.713966,1967.8
1983.194209,1968.2
1990.674377,1968.6
1990.65447,1969
1990.634564,1969.4
1990.614657,1969.8
1990.594751,1970.2
1990.574845,1970.6
1990.554939,1971
1990.535034,1971.4
1990.515129,1971.8
1990.495223,1972.2
1990.475318,1972.6
1990.455414,1973
1990.435509,1973.4
1990.415605,1973.8
1990.395701,1974.2
1990.375797,1974.6
1990.355893,1975
1990.335989,1975.4
1990.316086,1975.8
1990.296183,1976.2
1990.27628,1976.6
1990.256377,1977
1990.236475,1977.4
1990.216572,1977.8
1990.19667,1978.2
1990.176768,1978.6
1990.156866,1979
1990.136965,1979.4
1991.61223,1979.8
1999.092314,1980.2
2006.572323,1980.6
2006.552257,1981
