k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,s,v,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation
0,0.0,0.0,1.6122448979591837,1.58,0.7142857142857142,0.7,8.979591836734693,8.8,0.0,0.0,0.0,0.0,11.53685964181591,11.306122448979592,1507.90771900597,1508.1000000000001,2.0,11.53685964181591,11.3,-1.6
1,0.0,0.0,1.5918367346938778,1.56,0.7142857142857142,0.7,9.081632653061224,8.9,0.0,0.0,0.0,0.0,11.62015826738859,11.387755102040817,1507.7125417937941,1508.1000000000001,0.0,11.62015826738859,13.4,-1.6
2,0.0,0.0,1.622448979591837,1.59,0.7142857142857142,0.7,7.346938775510205,7.2,0.0,0.0,0.0,0.0,9.881299458558935,9.683673469387756,1507.546345756943,1508.1000000000001,-1.0,9.881299458558935,13.4,-1.6
3,0.0,0.0,3.36734693877551,3.3,0.7142857142857142,0.7,7.346938775510205,7.2,0.0,0.0,0.0,0.0,11.661807580174926,11.428571428571427,1507.3504747509276,1508.1000000000001,0.0,11.661807580174926,13.3,-1.5
4,0.0,0.0,3.36734693877551,3.3,0.6122448979591837,0.6,7.448979591836735,7.3,0.0,0.0,0.0,0.0,11.661807580174926,11.428571428571427,1507.154603940783,1508.1000000000001,0.0,11.661807580174926,13.4,-1.6
5,0.0,0.0,1.6326530612244898,1.6,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,0.0,9.683465222823823,9.489795918367347,1506.9917056991321,1508.1000000000001,1.0,9.683465222823823,12.4,-1.6
6,0.0,0.0,6.061224489795918,5.9399999999999995,0.6122448979591837,0.6,8.775510204081634,8.6,0.0,0.0,0.0,0.0,15.76426488962932,15.448979591836734,1506.7274609592657,1508.1000000000001,5.0,15.76426488962932,12.3,-1.5
7,0.0,0.0,6.081632653061225,5.96,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,15.05622657226156,14.755102040816327,1506.4750171222672,1508.1000000000001,-1.0,15.05622657226156,17.5,-1.4
8,0.0,0.0,6.071428571428571,5.95,0.7142857142857142,0.7,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.48396501457726,13.214285714285714,1506.2487778970071,1508.1000000000001,-2.0,13.48396501457726,17.5,-1.4
9,0.0,0.0,6.081632653061225,5.96,0.7142857142857142,0.7,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.494377342773843,13.224489795918366,1506.022365359183,1508.1000000000001,0.0,13.494377342773843,15.399999999999999,-1.5
10,0.0,0.0,5.9897959183673475,5.87,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,0.0,14.02540608079967,13.744897959183675,1505.7871025688041,1508.1000000000001,1.0,14.02540608079967,15.399999999999999,-1.5
11,0.0,0.0,6.73469387755102,6.6,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,0.0,14.889629321116201,14.591836734693878,1505.5374362930163,1508.1000000000001,0.0,14.889629321116201,16.4,-1.5
12,0.0,0.0,6.8061224489795915,6.67,0.7142857142857142,0.7,7.755102040816325,7.599999999999999,0.0,0.0,0.0,0.0,15.58725531028738,15.275510204081632,1505.2761431670751,1508.1000000000001,2.0,15.58725531028738,16.5,-1.3
13,0.0,0.0,6.775510204081634,6.640000000000001,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,0.0,15.660141607663473,15.346938775510203,1505.0136355308043,1508.1000000000001,-1.0,15.660141607663473,18.5,-1.3
14,0.0,0.0,5.489795918367347,5.38,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,0.0,12.682215743440233,12.428571428571427,1504.8007602547782,1508.1000000000001,-3.0,12.682215743440233,17.5,-1.3
15,0.0,0.0,5.816326530612245,5.7,0.7142857142857142,0.7,6.428571428571428,6.3,0.0,0.0,0.0,0.0,13.223656809662641,12.959183673469386,1504.5788611738567,1508.1000000000001,1.0,13.223656809662641,14.4,-1.3
16,0.0,0.0,5.877551020408164,5.76,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,13.286130778842152,13.020408163265309,1504.355921082015,1508.1000000000001,0.0,13.286130778842152,15.399999999999999,-1.4
17,0.0,0.0,5.918367346938775,5.8,0.7142857142857142,0.7,6.530612244897959,6.4,0.0,0.0,0.0,0.0,13.431903373594338,13.163265306122451,1504.1305516698671,1508.1000000000001,0.0,13.431903373594338,15.399999999999999,-1.4
18,0.0,0.0,5.173469387755103,5.07,0.6122448979591837,0.6,8.571428571428573,8.4,0.0,0.0,0.0,0.0,14.650145772594755,14.35714285714286,1503.8848784431057,1508.1000000000001,2.0,14.650145772594755,16.4,-1.1
19,0.0,0.0,1.4081632653061227,1.3800000000000001,0.6122448979591837,0.6,8.775510204081634,8.6,0.0,0.0,0.0,0.0,11.016243231986673,10.795918367346939,1503.6997705043607,1508.1000000000001,-3.0,11.016243231986673,16.5,-1.3
20,0.0,0.0,2.36734693877551,2.32,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,9.600166597251144,9.40816326530612,1503.5382640279693,1508.1000000000001,-1.0,9.600166597251144,13.4,-1.3
21,0.0,0.0,1.622448979591837,1.59,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,8.840066638900458,8.66326530612245,1503.3894260457234,1508.1000000000001,-3.0,8.840066638900458,13.3,-1.3
22,0.0,0.0,1.5612244897959187,1.53,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,8.881715951686797,8.704081632653061,1503.2398940571027,1508.1000000000001,0.0,8.881715951686797,11.3,-1.0
23,0.0,0.0,1.5306122448979593,1.5,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,0.0,8.850478967097043,8.673469387755102,1503.0908828344234,1508.1000000000001,0.0,8.850478967097043,11.3,-1.1
24,0.0,0.0,1.173469387755102,1.15,0.6122448979591837,0.6,8.16326530612245,8.0,0.0,0.0,0.0,0.0,10.152019991670139,9.948979591836736,1502.920179410346,1508.1000000000001,0.0,10.152019991670139,12.4,-0.9
25,0.0,0.0,1.2040816326530615,1.1800000000000002,0.6122448979591837,0.6,8.061224489795919,7.900000000000001,0.0,0.0,0.0,0.0,10.079133694294047,9.877551020408164,1502.7506909285948,1508.1000000000001,0.0,10.079133694294047,12.3,-0.9
26,0.0,0.0,1.459183673469388,1.4300000000000002,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,0.0,8.673469387755102,8.5,1502.6046303547748,1508.1000000000001,0.0,8.673469387755102,11.3,-1.0
