k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pBY
0,0.0,0.0,1.0106382978723405,0.9499999999999998,0.6382978723404256,0.6,9.787234042553191,9.2,49.7340425532002,38.29787234043424,36.000000000008185,0.0,0.0,1892.6000000000001,1891.9800000000002,0.0,-36.000000000008185,14.2,-2.0,12.65
1,0.0,0.0,1.0212765957446808,0.96,0.6382978723404256,0.6,9.680851063829788,9.1,49.638297872334626,38.29787234041973,35.99999999999454,0.0,0.0,1893.2,1891.9800000000002,0.0,-35.99999999999454,13.1,-1.9,12.65
2,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,11.914893617021276,11.2,48.638297872337525,35.106382978720504,32.99999999999727,0.0,0.0,1893.75,1891.9800000000002,0.0,-32.99999999999727,15.199999999999998,-1.9,12.65
3,0.0,0.0,1.0000000000000002,0.9400000000000002,0.6382978723404256,0.6,11.276595744680852,10.6,48.02127659575629,35.10638297873501,33.000000000010914,0.0,0.0,1894.3000000000002,1891.9800000000002,0.0,-33.000000000010914,15.199999999999998,-1.9,12.65
4,0.0,0.0,0.9255319148936169,0.8699999999999999,0.6382978723404256,0.6,12.340425531914894,11.6,49.010638297869434,35.106382978720504,32.99999999999727,0.0,0.0,1894.8500000000001,1891.9800000000002,0.0,-32.99999999999727,16.2,-2.0,12.65
5,0.0,0.0,0.946808510638298,0.89,0.6382978723404256,0.6,12.340425531914894,11.6,49.031914893614115,35.106382978720504,32.99999999999727,0.0,0.0,1895.4,1891.9800000000002,0.0,-32.99999999999727,17.2,-1.8,12.65
6,0.0,0.0,0.9361702127659576,0.8800000000000001,0.6382978723404256,0.6,15.0,14.1,48.48936170212766,31.914893617021278,30.0,0.0,0.0,1895.9,1891.9800000000002,0.0,-30.0,18.3,-1.6,12.65
7,0.0,0.0,0.946808510638298,0.89,0.6382978723404256,0.6,9.574468085106384,9.0,49.457446808504834,38.29787234041973,35.99999999999454,0.0,0.0,1896.5,1891.9800000000002,0.0,-35.99999999999454,13.2,-1.7,12.65
8,0.0,0.0,0.9148936170212767,0.86,0.6382978723404256,0.6,11.702127659574469,11.0,48.36170212767119,35.10638297873501,33.000000000010914,0.0,0.0,1897.0500000000002,1891.9800000000002,0.0,-33.000000000010914,14.2,-1.5,12.65
9,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,10.851063829787233,10.2,47.67021276595454,35.106382978720504,32.99999999999727,0.0,0.0,1897.6000000000001,1891.9800000000002,0.0,-32.99999999999727,14.2,-1.4,12.65
