k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
0,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,11.851931999990484,11.614893359990674,2467.6000000000004,2467.8,0.0,11.851931999990484,12.2,-0.9,5.27,0,0.0
1,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,47.851943999994546,46.894905119994654,2466.8,2467.8,0.0,47.851943999994546,12.3,-0.9,5.27,0,0.0
2,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,47.85199200000534,46.89495216000523,2466.0,2440.38,2.0,47.85199200000534,10.2,-1.1,5.27,0,0.0
3,0.0,0.0,1.2551020408163267,1.23,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,47.85203999998885,46.894999199989066,2465.2000000000003,2440.38,0.0,47.85203999998885,11.2,-1.1,5.27,0,0.0
4,0.0,0.0,1.2346938775510203,1.21,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,47.85208799999964,46.895046239999644,2464.4,2440.38,0.0,47.85208799999964,11.3,-1.4,5.27,0,0.0
5,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,8.16326530612245,8.0,0.0,0.0,0.0,47.85213599998315,46.895093279983485,2463.6000000000004,2440.38,0.0,47.85213599998315,12.3,-1.3,5.27,0,0.0
6,0.0,0.0,1.857142857142857,1.8199999999999998,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.85218399999394,46.89514031999406,2462.8,2440.38,0.0,47.85218399999394,13.2,-1.5,5.27,0,0.0
7,0.0,0.0,2.9081632653061225,2.85,0.6122448979591837,0.6,6.122448979591837,6.0,0.0,0.0,0.0,47.85223200000473,46.895187360004634,2462.0,2440.38,0.0,47.85223200000473,12.3,-1.7,5.27,0,0.0
8,0.0,0.0,3.5510204081632644,3.4799999999999995,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,47.85227999998824,46.895234399988475,2461.2000000000003,2440.38,0.0,47.85227999998824,13.3,-1.6,5.27,0,0.0
9,0.0,0.0,2.4285714285714284,2.38,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,47.852327999999034,46.89528143999905,2460.4,2440.38,0.0,47.852327999999034,13.3,-1.5,5.27,0,0.0
10,0.0,0.0,2.346938775510204,2.3,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,47.85237599998254,46.895328479982894,2459.6000000000004,2440.38,0.0,47.85237599998254,13.2,-1.6,5.27,0,0.0
11,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.852423999993334,46.895375519993465,2458.8,2440.38,0.0,47.852423999993334,13.3,-1.3,5.27,0,0.0
12,0.0,0.0,1.7244897959183674,1.69,0.6122448979591837,0.6,8.469387755102042,8.3,0.0,0.0,0.0,47.85247200000413,46.89542256000404,2458.0,2440.38,-1.0,47.85247200000413,13.3,-1.3,5.27,0,0.0
13,0.0,0.0,3.89795918367347,3.8200000000000007,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,47.852519999987635,46.89546959998788,2457.2000000000003,2440.38,0.0,47.852519999987635,12.3,-1.4,5.27,0,0.0
14,0.0,0.0,3.7551020408163263,3.6799999999999997,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,47.85256799999843,46.89551663999846,2456.4,2440.38,0.0,47.85256799999843,13.3,-1.6,5.27,0,0.0
15,0.0,0.0,3.8571428571428577,3.7800000000000002,0.6122448979591837,0.6,6.632653061224491,6.5,0.0,0.0,0.0,47.85261600000922,46.89556368000903,2455.6,2440.38,0.0,47.85261600000922,13.3,-1.7,5.27,0,0.0
16,0.0,0.0,1.0816326530612246,1.06,0.6122448979591837,0.6,7.755102040816325,7.599999999999999,0.0,0.0,0.0,47.85266399999273,46.895610719992874,2454.8,2440.38,0.0,47.85266399999273,14.3,-1.8,5.27,0,0.0
17,0.0,0.0,1.112244897959184,1.09,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.85271200000352,46.895657760003445,2454.0,2440.38,0.0,47.85271200000352,12.3,-1.6,5.27,0,0.0
18,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,47.85275999998703,46.89570479998729,2453.2000000000003,2440.38,0.0,47.85275999998703,11.3,-1.4,5.27,0,0.0
19,0.0,0.0,1.816326530612245,1.78,0.6122448979591837,0.6,6.224489795918367,6.1,0.0,0.0,0.0,47.85280799999782,46.895751839997864,2452.4,2440.38,0.0,47.85280799999782,11.2,-1.4,5.27,0,0.0
20,0.0,0.0,1.7346938775510203,1.7,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,47.852856000008615,46.89579888000844,2451.6,2440.38,0.0,47.852856000008615,11.2,-1.2,5.27,0,0.0
21,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,47.85290399999212,46.895845919992276,2450.8,2440.38,0.0,47.85290399999212,10.2,-1.6,5.27,0,0.0
22,0.0,0.0,1.0204081632653061,1.0,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,47.852952000002915,46.89589296000286,2450.0,2440.38,0.0,47.852952000002915,12.3,-1.3,5.27,0,0.0
