k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,dD1,dD
0,0.0,0.0,1.030612244897959,1.01,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,11.851931999990484,11.614893359990674,2467.6000000000004,2467.8,0.0,11.851931999990484,12.2,-0.9,5.27,0.0,0.0
1,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,6.938775510204081,6.8,0.0,0.0,0.0,23.85194399998909,23.374905119989304,2467.2000000000003,2467.8,0.0,23.85194399998909,12.3,-0.9,5.27,0.0,0.0
2,0.0,0.0,0.979591836734694,0.96,0.6122448979591837,0.6,6.326530612244898,6.2,0.0,0.0,0.0,23.851968000008128,23.374928640007965,2466.8,2440.38,2.0,23.851968000008128,10.2,-1.1,5.27,0.0,0.0
3,0.0,0.0,1.2551020408163267,1.23,0.6122448979591837,0.6,6.530612244897959,6.4,0.0,0.0,0.0,23.851991999999882,23.374952159999886,2466.4,2440.38,0.0,23.851991999999882,11.2,-1.1,5.27,0.0,0.0
4,0.0,0.0,1.2346938775510203,1.21,0.6122448979591837,0.6,7.142857142857143,7.0,0.0,0.0,0.0,23.852015999991636,23.374975679991802,2466.0,2440.38,0.0,23.852015999991636,11.3,-1.4,5.27,0.0,0.0
5,0.0,0.0,1.1632653061224492,1.1400000000000001,0.6122448979591837,0.6,8.16326530612245,8.0,0.0,0.0,0.0,23.85203999998339,23.37499919998372,2465.6000000000004,2440.38,0.0,23.85203999998339,12.3,-1.3,5.27,0.0,0.0
6,0.0,0.0,1.857142857142857,1.8199999999999998,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.85206400000243,23.37502272000238,2465.2000000000003,2440.38,0.0,23.85206400000243,13.2,-1.5,5.27,0.0,0.0
7,0.0,0.0,2.9081632653061225,2.85,0.6122448979591837,0.6,6.122448979591837,6.0,0.0,0.0,0.0,23.852087999994183,23.375046239994298,2464.8,2440.38,0.0,23.852087999994183,12.3,-1.7,5.27,0.0,0.0
8,0.0,0.0,3.5510204081632644,3.4799999999999995,0.6122448979591837,0.6,6.428571428571428,6.3,0.0,0.0,0.0,23.85211200001322,23.375069760012956,2464.4,2440.38,0.0,23.85211200001322,13.3,-1.6,5.27,0.0,0.0
9,0.0,0.0,2.4285714285714284,2.38,0.6122448979591837,0.6,7.244897959183673,7.1,0.0,0.0,0.0,23.852136000004975,23.375093280004872,2464.0,2440.38,0.0,23.852136000004975,13.3,-1.5,5.27,0.0,0.0
10,0.0,0.0,2.346938775510204,2.3,0.6122448979591837,0.6,8.36734693877551,8.2,0.0,0.0,0.0,23.852159999969444,23.375116799970055,2463.6000000000004,2440.38,0.0,23.852159999969444,13.2,-1.6,5.27,0.0,0.0
11,0.0,0.0,1.704081632653061,1.67,0.6122448979591837,0.6,7.959183673469388,7.800000000000001,0.0,0.0,0.0,23.852183999988483,23.375140319988713,2463.2000000000003,2440.38,0.0,23.852183999988483,13.3,-1.3,5.27,0.0,0.0
