k,gP1,dA2,sBY,bF,xFD1_xFC2,pBY,v,dD,dD2
0,0,5,0,2432.570754,15.61849229,26.31,0,10,10
1,0,5,0,2424.759075,15.61849229,26.31,0,10,10
2,0,5,0,2416.947404,15.61849229,26.31,0,10,10
3,0,5,0,2409.135741,15.61849229,26.31,0,10,10
4,0,6,0,2399.762237,18.74219075,26.31,0,12,12
5,0,5,0,2391.950591,15.61849229,26.31,0,10,10
6,0,5,0,2384.138953,15.61849229,26.31,0,10,10
7,0,5,0,2376.327322,15.61849229,26.31,0,10,10
8,0,5,0,2368.5157,15.61849229,26.31,0,10,10
9,0,4,0,2362.265934,12.49479384,26.31,0,8,8
10,3,5,0,2355.954326,12.61849229,26.31,0,10,10
11,9,6,0,2351.080875,9.742190754,26.31,0,12,12
12,12,5,0,2349.269277,3.618492295,26.31,0,10,10
13,19,5,0,2349.266928,0,26.31,0,10,10
14,29,5,0,2349.264579,0,26.31,0,10,10
15,38,5,0,2349.26223,0,26.31,0,10,10
16,43,9,0,2349.25988,0,26.31,0,18,18
17,49,10,0,2349.257531,0,26.31,0,20,20
18,50,10,0,2349.255182,0,26.31,0,20,20
19,53,22,0,2341.39215,15.7213661,26.31,0,44,44
20,54,33,0,2316.848784,49.08204915,26.31,0,66,66
21,57,19,0,2315.671331,2.350270721,26.31,0,38,38
22,55,12,0,2315.669016,0,26.31,0,24,24
23,53,12,0,2315.6667,0,26.31,0,24,24
24,78,13,0,2315.664384,0,26.31,0,26,26
25,105,12,0,2315.662069,0,26.31,0,24,24
26,105,12,0,2315.659753,0,26.31,0,24,24
27,94,24,0,2315.657437,0,26.31,0,48,48
28,88,30,0,2312.799645,5.710953769,26.31,0,60,60
29,69,13,0,2312.797332,0,26.31,0,26,26
30,58,12,0,2312.795019,0,26.31,0,24,24
31,35,13,0,2309.988666,5.608079967,26.31,0,26,26
32,30,12,0,2306.244166,7.484381508,26.31,0,24,24
33,14,10,0,2297.623367,17.23698459,26.31,0,20,20
34,11,6,0,2293.749974,7.742190754,26.31,0,12,12
35,1,6,0,2284.876585,17.74219075,26.31,0,12,12
36,0,6,0,2275.503205,18.74219075,26.31,0,12,12
37,0,7,0,2264.567985,21.86588921,26.31,0,14,14
38,0,7,0,2253.632776,21.86588921,26.31,0,14,14
39,0,6,0,2244.259427,18.74219075,26.31,0,12,12
40,0,6,0,2234.886087,18.74219075,26.31,0,12,12
41,0,5,0,2227.074606,15.61849229,26.31,0,10,10
42,0,5,0,2219.263133,15.61849229,26.31,0,10,10
43,0,5,0,2211.451667,15.61849229,26.31,0,10,10
44,0,5,0,2203.64021,15.61849229,26.31,0,10,10
45,0,5,0,2195.82876,15.61849229,26.31,0,10,10
46,0,5,0,2188.017318,15.61849229,26.31,0,10,10
47,0,6,0,2178.644034,18.74219075,26.31,0,12,12
48,0,5,0,2170.83261,15.61849229,26.31,0,10,10
49,0,5,0,2163.021193,15.61849229,26.31,0,10,10
50,0,5,0,2155.209784,15.61849229,26.31,0,10,10
51,0,5,0,2147.398382,15.61849229,26.31,0,10,10
52,0,5,0,2139.586989,15.61849229,26.31,0,10,10
53,0,5,0,2131.775603,15.61849229,26.31,0,10,10
54,0,5,0,2123.964225,15.61849229,26.31,0,10,10
55,0,5,0,2116.152855,15.61849229,26.31,0,10,10
56,0,5,0,2108.341493,15.61849229,26.31,0,10,10
57,0,5,0,2100.530138,15.61849229,26.31,0,10,10
58,0,5,0,2092.718791,15.61849229,26.31,0,10,10
59,0,6,0,2083.345603,18.74219075,26.31,0,12,12
60,0,5,0,2075.534274,15.61849229,26.31,0,10,10
61,0,5,0,2067.722952,15.61849229,26.31,0,10,10
62,0,5,0,2059.911638,15.61849229,26.31,0,10,10
63,8,5,0,2056.100332,7.618492295,26.31,0,10,10
64,32,5,0,2056.098276,0,26.31,0,10,10
65,39,11,0,2056.09622,0,26.31,0,22,22
66,96,12,0,2056.094164,0,26.31,0,24,24
67,105,12,0,2056.092108,0,26.31,0,24,24
68,85,12,0,2056.090052,0,26.31,0,24,24
69,46,12,0,2056.087996,0,26.31,0,24,24
70,33,12,0,2053.843749,4.484381508,26.31,0,24,24
71,21,12,0,2045.599504,16.48438151,26.31,0,24,24
72,58,12,0,2045.597459,0,26.31,0,24,24
73,64,11,0,2045.595413,0,26.31,0,22,22
74,71,12,0,2045.593367,0,26.31,0,24,24
75,76,12,0,2045.591322,0,26.31,0,24,24
76,65,12,0,2057.403183,-23.62781401,26.31,0,24,24
77,47,11,0,2063.470526,-12.1388,26.31,0,22,22
78,56,12,0,2072.359662,-17.7824,26.31,0,24,24
79,50,15,0,2073.86759,-3.02,26.31,0,30,30
80,43,34,0,2042.262642,63.20574761,26.31,0,68,68
81,21,12,0,2034.018409,16.48438151,26.31,0,24,24
82,11,11,0,2022.336034,23.36068305,26.31,0,22,22
83,1,12,0,2004.091821,36.48438151,26.31,0,24,24
84,0,12,0,1985.347626,37.48438151,26.31,0,24,24
85,0,11,0,1968.165299,34.36068305,26.31,0,22,22
86,0,12,0,1949.42114,37.48438151,26.31,0,24,24
87,0,11,0,1932.238849,34.36068305,26.31,0,22,22
88,0,6,0,1922.865821,18.74219075,26.31,0,12,12
89,0,5,0,1915.054652,15.61849229,26.31,0,10,10
90,0,5,0,1907.243491,15.61849229,26.31,0,10,10
91,0,5,0,1899.432338,15.61849229,26.31,0,10,10
92,0,5,0,1891.621192,15.61849229,26.31,0,10,10
93,0,5,0,1883.810054,15.61849229,26.31,0,10,10
94,0,5,0,1875.998925,15.61849229,26.31,0,10,10
95,0,5,0,1868.187802,15.61849229,26.31,0,10,10
96,0,5,0,1860.376688,15.61849229,26.31,0,10,10
97,0,5,0,1852.565582,15.61849229,26.31,0,10,10
98,0,5,0,1844.754483,15.61849229,26.31,0,10,10
99,0,5,0,1836.943392,15.61849229,26.31,0,10,10
100,0,5,0,1829.132309,15.61849229,26.31,0,10,10
101,0,5,0,1821.321234,15.61849229,26.31,0,10,10
102,0,5,0,1813.510166,15.61849229,26.31,0,10,10
103,0,4,0,1807.260956,12.49479384,26.31,0,8,8
104,0,6,0,1797.888053,18.74219075,26.31,0,12,12
105,0,5,0,1790.077009,15.61849229,26.31,0,10,10
106,3,5,0,1783.765973,12.61849229,26.31,0,10,10
107,10,5,0,1780.954943,5.618492295,26.31,0,10,10
108,24,5,0,1780.953162,0,26.31,0,10,10
109,38,5,0,1780.951381,0,26.31,0,10,10
110,51,5,0,1780.9496,0,26.31,0,10,10
111,64,6,0,1780.947819,0,26.31,0,12,12
112,70,5,0,1780.946038,0,26.31,0,10,10
113,86,6,0,1780.944257,0,26.31,0,12,12
114,90,6,0,1780.942476,0,26.31,0,12,12
115,102,6,0,1780.940695,0,26.31,0,12,12
116,105,5,0,1780.938914,0,26.31,0,10,10
117,105,6,0,1780.937133,0,26.31,0,12,12
118,105,5,0,1780.935352,0,26.31,0,10,10
119,105,6,0,1780.933571,0,26.31,0,12,12
120,105,6,0,1780.931791,0,26.31,0,12,12
121,105,6,0,1780.93001,0,26.31,0,12,12
122,104,5,0,1780.928229,0,26.31,0,10,10
123,94,5,0,1780.926448,0,26.31,0,10,10
124,89,6,0,1780.924667,0,26.31,0,12,12
125,72,5,0,1780.922886,0,26.31,0,10,10
126,68,6,0,1780.921105,0,26.31,0,12,12
127,48,5,0,1780.919324,0,26.31,0,10,10
128,39,6,0,1780.917543,0,26.31,0,12,12
129,28,5,0,1786.861362,-11.8912,26.31,0,10,10
130,21,6,0,1787.943775,-2.1684,26.31,0,12,12
131,4,6,0,1780.570892,14.74219075,26.31,0,12,12
