k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
0,0.0,0.0,1.0106382978723403,0.9499999999999998,0.6382978723404256,0.6,9.787234042553191,9.2,-59999988.56382979,0.0,0.0,0.0,60000000.0,1891.9799999999814,1891.9800000000002,0.0,0.0,14.2,-2.0,12.65,0.0
1,0.0,0.0,1.0212765957446808,0.96,0.6382978723404256,0.6,9.680851063829788,9.1,-59999988.659574434,0.0,0.0,0.0,60000000.0,1891.9610802000389,1891.9800000000002,0.0,0.0,13.1,-1.9,12.65,0.0
2,0.0,0.0,0.9787234042553191,0.9199999999999999,0.6382978723404256,0.6,11.914893617021276,11.2,-59999986.46808511,0.0,0.0,0.0,60000000.0,1891.9421605891548,1891.9800000000002,0.0,0.0,15.199999999999998,-1.9,12.65,0.0
3,0.0,0.0,1.0000000000000002,0.9400000000000002,0.6382978723404256,0.6,11.27659574468085,10.6,-59999987.0851064,0.0,0.0,0.0,60000000.0,1891.9232411676312,1891.9800000000002,0.0,0.0,15.199999999999998,-1.9,12.65,0.0
4,0.0,0.0,0.9255319148936167,0.8699999999999999,0.6382978723404256,0.6,12.340425531914892,11.6,-59999986.095744684,0.0,0.0,0.0,60000000.0,1891.9043219352607,1891.9800000000002,0.0,0.0,16.2,-2.0,12.65,0.0
5,0.0,0.0,0.9468085106382977,0.89,0.6382978723404256,0.6,12.340425531914892,11.6,-59999986.07446809,0.0,0.0,0.0,60000000.0,1891.8854028920005,1891.9800000000002,0.0,0.0,17.2,-1.8,12.65,0.0
6,0.0,0.0,0.9361702127659576,0.8800000000000001,0.6382978723404256,0.6,14.999999999999998,14.1,-59999983.42553192,0.0,0.0,0.0,60000000.0,1891.8664840380661,1891.9800000000002,0.0,0.0,18.3,-1.6,12.65,0.0
7,0.0,0.0,0.9468085106382977,0.89,0.6382978723404256,0.6,9.574468085106382,9.0,-59999988.840425566,0.0,0.0,0.0,60000000.0,1891.8475653731314,1891.9800000000002,0.0,0.0,13.2,-1.7,12.65,0.0
8,0.0,0.0,0.9148936170212766,0.86,0.6382978723404256,0.6,11.702127659574467,11.0,-59999986.74468085,0.0,0.0,0.0,60000000.0,1891.8286468975712,1891.9800000000002,0.0,0.0,14.2,-1.5,12.65,0.0
9,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,10.851063829787233,10.2,-59999987.436170235,0.0,0.0,0.0,60000000.0,1891.809728611009,1891.9800000000002,0.0,0.0,14.2,-1.4,12.65,0.0
