k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,sBY,sSL,xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL
0,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,10.649615210502489,10.01063829787234,2467.6225064131586,2467.8,0.0,10.649615210502489,12.2,-0.9,5.27
1,0.0,0.0,1.0212765957446808,0.96,0.6382978723404256,0.6,7.234042553191489,6.8,0.0,0.0,0.0,0.0,9.461294703485738,8.893617021276595,2467.462350545594,2467.8,0.0,9.461294703485738,12.3,-0.9,5.27
2,0.0,0.0,1.0212765957446808,0.96,0.6382978723404256,0.6,6.595744680851063,6.2,0.0,0.0,0.0,0.0,8.782254413761882,8.255319148936168,2467.313512176347,2440.38,2.0,8.782254413761882,10.2,-1.1,5.27
3,0.0,0.0,1.3085106382978724,1.23,0.6382978723404256,0.6,6.808510638297873,6.4,0.0,0.0,0.0,0.0,9.314169307378904,8.75531914893617,2467.155808707712,2440.38,0.0,9.314169307378904,11.2,-1.1,5.27
4,0.0,0.0,1.2872340425531914,1.21,0.6382978723404256,0.6,7.446808510638298,7.0,0.0,0.0,0.0,0.0,9.970574920778631,9.372340425531915,2466.9871653032233,2440.38,0.0,9.970574920778631,11.3,-1.4,5.27
5,0.0,0.0,1.2127659574468086,1.1400000000000001,0.6382978723404256,0.6,8.51063829787234,8.0,0.0,0.0,0.0,0.0,11.02308736985061,10.361702127659575,2466.800980193227,2440.38,0.0,11.02308736985061,12.3,-1.3,5.27
6,0.0,0.0,1.9361702127659572,1.8199999999999998,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,11.566319601629697,10.872340425531915,2466.6057413988865,2440.38,0.0,11.566319601629697,13.2,-1.5,5.27
7,0.0,0.0,3.0319148936170213,2.85,0.6382978723404256,0.6,6.382978723404255,6.0,0.0,0.0,0.0,0.0,10.694884563150747,10.053191489361703,2466.4250267170924,2440.38,0.0,10.694884563150747,12.3,-1.7,5.27
8,0.0,0.0,3.702127659574467,3.4799999999999995,0.6382978723404256,0.6,6.702127659574468,6.3,0.0,0.0,0.0,0.0,11.747397012222722,11.04255319148936,2466.226770341862,2440.38,0.0,11.747397012222722,13.3,-1.6,5.27
9,0.0,0.0,2.531914893617021,2.38,0.6382978723404256,0.6,7.553191489361701,7.1,0.0,0.0,0.0,0.0,11.407876867360796,10.723404255319148,2466.034172833969,2440.38,0.0,11.407876867360796,13.3,-1.5,5.27
10,0.0,0.0,2.4468085106382977,2.3,0.6382978723404256,0.6,8.723404255319148,8.2,0.0,0.0,0.0,0.0,12.562245359891351,11.808510638297872,2465.822336043798,2440.38,0.0,12.562245359891351,13.2,-1.6,5.27
11,0.0,0.0,1.776595744680851,1.67,0.6382978723404256,0.6,8.297872340425533,7.800000000000001,0.0,0.0,0.0,0.0,11.396559529198733,10.712765957446809,2465.6299275626416,2440.38,0.0,11.396559529198733,13.3,-1.3,5.27
12,0.0,0.0,1.797872340425532,1.69,0.6382978723404256,0.6,8.829787234042552,8.3,0.0,0.0,0.0,0.0,11.985061113626074,11.265957446808509,2465.4277109141535,2440.38,-1.0,11.985061113626074,13.3,-1.3,5.27
13,0.0,0.0,4.063829787234043,3.8200000000000007,0.6382978723404256,0.6,7.234042553191489,6.8,0.0,0.0,0.0,0.0,12.698053417836125,11.936170212765958,2465.213611262812,2440.38,0.0,12.698053417836125,12.3,-1.4,5.27
