受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),エリアプライス四国(円/kWh)
2025/7/3,1,21968700,18629650,14020050,12.87
2025/7/3,2,22585050,18675300,14189900,12.67
2025/7/3,3,22988150,18622900,14318700,12.65
2025/7/3,4,23551800,18845450,14367200,12.04
2025/7/3,5,23933600,18824850,14101250,10.76
2025/7/3,6,24299400,18748050,14031650,11
2025/7/3,7,24407650,18718100,14031500,10.21
2025/7/3,8,24375500,18262200,14019400,10.21
2025/7/3,9,24347100,18170750,13995950,10.21
2025/7/3,10,24403100,18139600,13859100,11.41
2025/7/3,11,24496650,18248150,14034900,12
2025/7/3,12,25228750,18506250,14621650,10.21
2025/7/3,13,26148350,19361050,15113900,10.21
2025/7/3,14,26900550,20127650,15811650,9.35
2025/7/3,15,27511050,21089400,16651350,8.91
2025/7/3,16,27995750,22255250,17509000,9.37
2025/7/3,17,27309950,22961450,18714150,10.69
2025/7/3,18,27429100,24198100,19978550,11.34
2025/7/3,19,27728750,25377200,21177500,12.94
2025/7/3,20,28438450,26122100,21845100,10.76
2025/7/3,21,29685000,26563000,22543150,12.65
2025/7/3,22,30164800,26709550,22914050,12.01
2025/7/3,23,30298150,27162650,23183700,9.01
2025/7/3,24,30212800,27437200,23204900,9.29
2025/7/3,25,30547150,26948900,22803800,7.7
2025/7/3,26,30255600,26729650,22672950,7.7
2025/7/3,27,28793200,27035300,22685000,12.65
2025/7/3,28,27704150,26802050,22349150,14.02
2025/7/3,29,26734850,27059000,21855600,15.02
2025/7/3,30,25871900,27169300,21656400,16.24
2025/7/3,31,25180950,26797000,21479550,18
2025/7/3,32,25071350,26887100,20946300,20
2025/7/3,33,24192950,26754600,20479000,20.39
2025/7/3,34,22997400,26633150,19908850,25
2025/7/3,35,22245850,25458650,19050500,20.95
2025/7/3,36,22727600,24908000,18528100,20.51
2025/7/3,37,22140950,24244650,18253500,24
2025/7/3,38,22018300,23945650,17987600,23
2025/7/3,39,22059050,23695850,17649950,20.02
2025/7/3,40,20381600,23407400,17277550,20.46
2025/7/3,41,19839150,22002000,16671650,20
2025/7/3,42,20253150,21535050,16076700,18.99
2025/7/3,43,20745350,20765700,15731600,16.59
2025/7/3,44,21283050,20633250,15716400,16.21
2025/7/3,45,21587800,20620950,15511200,15.76
2025/7/3,46,21533700,19781950,14966250,14.22
2025/7/3,47,21511500,19333100,14974600,13.95
2025/7/3,48,21168000,18131100,14467200,11.5
2025/7/4,1,20802300,18630300,14332050,13.04
2025/7/4,2,21680500,18710550,14390950,12.63
2025/7/4,3,22523750,18557600,14424800,12.11
2025/7/4,4,23210700,18798700,14367800,11.67
2025/7/4,5,23979250,18592350,14384750,9.65
2025/7/4,6,23862100,18477300,14282750,9.37
2025/7/4,7,23905000,18407150,14353750,8.91
2025/7/4,8,23830350,17966750,14345850,8.91
2025/7/4,9,23762000,17939250,14321000,8.91
2025/7/4,10,23763450,18057150,14251600,9.17
2025/7/4,11,23708750,18143500,14211050,10.21
2025/7/4,12,24410450,18522100,14678750,9.14
2025/7/4,13,25206500,19672200,15377550,9.89
2025/7/4,14,25896900,20760000,16111700,9.14
2025/7/4,15,26209650,21837900,16883500,8.91
2025/7/4,16,27007450,23149000,17723200,10.21
2025/7/4,17,26607150,23357200,18874350,12.09
2025/7/4,18,27157300,24610300,20216600,12.58
2025/7/4,19,27886800,25777600,21326450,12.65
2025/7/4,20,28553150,26338450,22013000,7.7
2025/7/4,21,29650700,26859450,22671000,7.7
2025/7/4,22,29781050,27049200,22980900,7.7
2025/7/4,23,29692200,27541100,23339750,7.7
2025/7/4,24,29372350,27948050,23374600,7.7
2025/7/4,25,29869250,27603800,23201200,7.39
2025/7/4,26,29303750,27294650,22960000,7.4
2025/7/4,27,28445500,27438700,22796800,7.93
2025/7/4,28,28052450,27477500,22438450,8.12
2025/7/4,29,27242500,27609000,22476850,8.31
2025/7/4,30,26495150,27137550,22069700,12
2025/7/4,31,25743850,26714700,21588100,14.02
2025/7/4,32,24255050,27115200,20761700,18.01
2025/7/4,33,23658950,27110200,20499700,20
2025/7/4,34,22431900,26910450,19772750,29.47
2025/7/4,35,21374600,25897850,18785350,29.47
2025/7/4,36,22637550,25183850,18836750,21.46
2025/7/4,37,22376500,24715700,18558950,24.49
2025/7/4,38,22106800,24520150,18256800,25.12
2025/7/4,39,21676150,24347400,17900550,23.36
2025/7/4,40,20510250,23808100,17278600,26.57
2025/7/4,41,20323250,22082800,16660250,21
2025/7/4,42,20438800,21604100,16470650,19.34
2025/7/4,43,20854600,21208400,16146900,19.08
2025/7/4,44,21349100,20801200,15775800,17.36
2025/7/4,45,21272000,20847050,15707350,16.45
2025/7/4,46,21436000,20164250,15270000,15.17
2025/7/4,47,21587000,19973250,15029000,15.11
2025/7/4,48,21135000,19286400,14841150,14.02
2025/7/5,1,22013550,18701500,14622850,12.68
2025/7/5,2,22814000,18202000,14117700,12.09
2025/7/5,3,23026750,17812400,13941850,10.81
2025/7/5,4,23406950,17457200,13975450,10.19
2025/7/5,5,23512100,17246500,13932400,9.55
2025/7/5,6,23471750,17277400,13903150,9.81
2025/7/5,7,23657950,17259350,13924350,9.55
2025/7/5,8,23703050,17209850,13910000,9.55
2025/7/5,9,23805000,17161650,13896300,9.81
