太陽光発電電力,系統購入電力,蓄電池MegaPower放電電力,工場全消費電力,6600/210-105V 75kVA 全体,6600/210V 300kVA 全体,6600/210V 500kVA 全体,No.1系特定負荷 商用電力,No.2系特定負荷 商用電力,No1太陽光PCS直流電力,No1太陽光PCS交流電力,No2太陽光PCS直流電力,No2太陽光PCS交流電力,日射量,直流電力の合計値,蓄電池,売買電単価,売買電価格(30分ごと),交流/直流,Unnamed: 21,Unnamed: 22,テクシード国府工場動力Tr,テクシード国府工場電灯Tr,テクシード国府工場全体,Unnamed: 26,Unnamed: 27
0.0,0,14.2,11.9,0.95,0.6,9.2,4.5,0.0,0,0,0,0,-2.0,0,69.0,12.65,12.87,0.0,,,0.0,2.0,2.0,,207.0
0.0,0,13.1,11.6,0.96,0.6,9.1,4.5,0.0,0,0,0,0,-1.9,0,69.0,12.65,12.67,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,13.4,0.9199999999999999,0.6,11.2,4.5,0.0,0,0,0,0,-1.9,0,69.0,12.65,12.65,0.0,,,0.0,3.0,3.0,,
0.0,0,15.2,13.0,0.9400000000000001,0.6,10.6,4.5,0.0,0,0,0,0,-1.9,0,69.0,12.65,12.04,0.0,,,0.0,3.0,3.0,,
0.0,0,16.2,14.2,0.8699999999999999,0.6,11.6,4.4,0.0,0,0,0,0,-2.0,0,69.0,12.65,10.76,0.0,,,0.0,2.0,2.0,,
0.0,0,17.2,15.0,0.89,0.6,11.6,4.5,0.0,0,0,0,0,-1.8,0,69.0,12.65,11.0,0.0,,,0.0,2.0,2.0,,
0.0,0,18.3,16.7,0.8800000000000001,0.6,14.1,5.1,0.0,0,0,0,0,-1.6,0,69.0,12.65,10.21,0.0,,,0.0,2.0,2.0,,
0.0,0,13.2,11.4,0.89,0.6,9.0,5.1,0.0,0,0,0,0,-1.7,0,69.0,12.65,10.21,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.6,0.86,0.6,11.0,5.1,0.0,0,0,0,0,-1.5,0,69.0,12.65,10.21,0.0,,,0.0,1.0,2.0,,
0.0,0,14.2,12.7,1.01,0.6,10.2,4.4,0.0,0,0,0,0,-1.4,0,69.0,12.65,11.41,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,12.8,0.99,0.6,10.4,4.4,0.0,0,0,0,0,-1.3,0,69.0,12.65,12.0,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.7,1.02,0.5,10.0,4.4,0.0,0,0,0,0,-0.9,0,69.0,12.65,10.21,0.0,,,0.0,2.0,2.0,,
0.0,0,15.3,13.4,0.9400000000000001,0.5,10.9,4.3,0.0,0,0,0,0,-0.7,0,69.0,12.65,10.21,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,13.8,0.89,0.6,11.6,4.3,0.0,0,0,0,0,-0.5,0,69.0,12.65,9.35,0.0,,,0.0,1.0,2.0,,
0.0,0,15.2,13.0,0.9099999999999999,0.6,11.0,4.3,0.0,0,0,0,0,0.0,0,69.0,12.65,8.91,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,13.0,0.89,0.5,10.7,4.3,0.0,0,0,0,0,0.0,0,69.0,12.65,9.37,0.0,,,0.0,1.0,2.0,,
0.0,0,15.2,13.1,0.9400000000000001,0.6,10.8,4.3,0.0,0,0,0,0,0.0,0,69.0,12.65,10.69,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.7,1.9600000000000002,0.6,9.3,4.3,0.1,0,0,0,0,-0.6,0,69.0,12.65,11.34,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,13.3,1.97,0.6,10.2,4.3,0.1,0,0,0,0,-1.0,0,69.0,12.65,12.94,0.0,,,0.0,2.0,2.0,,
0.0,0,15.2,14.5,0.9099999999999999,0.6,12.0,4.3,0.1,0,0,0,0,-1.2,0,69.0,12.65,10.76,0.0,,,0.0,2.0,2.0,,
0.0,0,19.3,17.4,0.9,0.5,15.0,4.3,0.1,0,0,0,0,-1.2,0,69.0,12.65,12.65,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.5,0.9099999999999999,0.6,10.0,4.3,0.1,0,0,0,0,-1.4,0,69.0,12.65,12.01,0.0,,,0.0,2.0,2.0,,
0.0,0,14.2,12.4,0.9099999999999999,0.6,10.0,4.3,0.1,0,0,0,0,-1.5,0,69.0,12.65,9.01,0.0,,,0.0,3.0,3.0,,
0.0,0,13.2,10.9,1.03,0.6,8.4,4.3,0.1,0,0,0,0,-1.5,0,68.0,12.65,9.29,0.0,,,0.0,3.0,3.0,,
0.0,0,13.2,11.2,1.02,0.6,8.7,4.3,0.1,0,0,0,0,-1.3,0,68.0,12.65,7.7,0.0,,,0.0,3.0,3.0,,
0.0,0,14.2,12.4,1.01,0.6,9.9,4.3,0.1,0,0,0,0,-0.7,0,68.0,12.65,7.7,0.0,,,0.0,3.0,3.0,,
0.0,0,17.3,16.2,1.53,0.6,12.8,4.3,0.1,0,0,0,0,-0.2,0,68.0,12.65,12.65,0.0,,,0.0,3.0,3.0,,
