month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,12658.0,8202.0,27537.0,0.0,128.0
2,36671.0,25254.0,13663.0,11591.0,23008.0,0.0,150.0
3,49038.0,32398.0,20009.0,12389.0,29029.0,0.0,140.0
4,54890.0,26646.0,19030.0,7616.0,35860.0,0.0,178.0
5,66616.0,27079.0,22072.0,5007.0,44544.0,0.0,172.0
6,77588.0,24833.0,22358.0,2475.0,55230.0,0.0,220.0
7,111215.0,25616.0,24633.0,983.0,86582.0,0.0,246.0
8,118228.0,18807.0,18734.0,73.0,99494.0,0.0,262.0
9,90874.0,24871.0,23156.0,1715.0,67718.0,0.0,240.0
10,72491.0,22019.0,18099.0,3920.0,54392.0,0.0,206.0
11,49925.0,19486.0,14212.0,5274.0,35713.0,0.0,142.0
12,45251.0,19764.0,13771.0,5993.0,31480.0,0.0,122.0
