month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19517.18,577.26,31.939387435612577
2,36671.0,25254.0,25254.0,0.0,12643.49,609.21,31.835618307789208
3,49038.0,32398.0,32398.0,-0.0,16442.7,693.97,63.3792680074836
4,54890.0,26646.0,26646.0,-0.0,29576.7,672.88,80.37958812447215
5,66616.0,27079.0,27079.0,-0.0,39544.69,757.41,90.07629771382184
6,77588.0,24833.0,24833.0,-0.0,53106.78,620.85,147.6584139002651
7,111215.0,25616.0,25616.0,-0.0,86582.62,638.63,188.83825116649777
8,118228.0,18807.0,18807.0,-0.0,99728.32,610.86,174.22362816918857
9,90874.0,24871.0,24871.0,-0.0,66655.39,640.39,142.60208359248654
10,72491.0,22019.0,22019.0,0.0,51419.27,664.94,110.90092457877692
11,49925.0,19486.0,19486.0,0.0,30515.87,572.91,59.562702261475515
12,45251.0,19764.0,19764.0,0.0,25756.08,661.58,46.00000000000005
