month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,19734.91,381.07,38.55099437583351
2,36671.0,25254.0,25254.0,0.0,12365.26,398.33,29.793377891593817
3,49038.0,32398.0,32398.0,-0.0,16961.17,404.48,58.46516074884758
4,54890.0,26646.0,26646.0,0.0,28920.95,438.96,74.07450013694879
5,66616.0,27079.0,27079.0,-0.0,40111.59,457.76,112.13047250641696
6,77588.0,24833.0,24833.0,0.0,53024.85,404.09,123.50786115880555
7,111215.0,25616.0,25616.0,-0.0,86163.28,425.19,193.6930276347123
8,118228.0,18807.0,18807.0,0.0,99873.95,380.3,213.19064563645088
9,90874.0,24871.0,24871.0,0.0,66524.95,396.64,190.9186979193736
10,72491.0,22019.0,22019.0,0.0,50993.48,395.53,160.24293476441778
11,49925.0,19486.0,19486.0,-0.0,30902.89,331.52,68.71812765934745
12,45251.0,19764.0,19764.0,-0.0,25795.41,364.83,48.21907362670574
